"","R_basic","intervention_efficacy","Location","n_intros"
"363",0.747150297509506,0.983999515417963,"Marburg",20
"364",0.917717910837382,0.790471586864442,"Marburg",20
"365",0.917914730496705,0.761758924927562,"Marburg",20
"366",0.434394740732387,0.526872468646616,"Marburg",20
"367",0.832952464465052,0.795120901195332,"Marburg",20
"368",0.624092859914526,0.908544060075656,"Marburg",20
"369",0.49039863771759,0.574036756064743,"Marburg",20
"370",0.293706634780392,0.733634563861415,"Marburg",20
"371",1.20645780628547,0.580689538735896,"Marburg",20
"372",0.14224962098524,0.0171845185104758,"Marburg",20
"373",0.348511856747791,0.577512494986877,"Marburg",20
"374",0.149824729654938,0.751274180132896,"Marburg",20
"375",1.03776651271619,0.748278495389968,"Marburg",20
"376",0.817570905899629,0.834793640533462,"Marburg",20
"377",0.553720190422609,0.217027089558542,"Marburg",20
"378",0.569078335538507,0.708039306569844,"Marburg",20
"379",0.749631454003975,0.81361886812374,"Marburg",20
"380",0.523741267388687,0.178052642615512,"Marburg",20
"381",0.546641968656331,0.642217276850715,"Marburg",20
"382",0.599454444134608,0.322817847365513,"Marburg",20
"383",0.251785326283425,0.291187584167346,"Marburg",20
"384",0.482278055744246,0.620539547875524,"Marburg",20
"385",0.103565205121413,0.601968407165259,"Marburg",20
"386",0.253649565624073,0.58913163957186,"Marburg",20
"387",0.945492686005309,0.811014398932457,"Marburg",20
"388",1.46215875539929,0.862690303009003,"Marburg",20
"389",1.38115539774299,0.696419319137931,"Marburg",20
"390",0.669993643183261,0.733252852689475,"Marburg",20
"391",0.147691576508805,0.993434995412827,"Marburg",20
"392",0.616351985838264,0.306658348534256,"Marburg",20
"393",0.567626178497449,0.662634739652276,"Marburg",20
"394",0.681599778821692,0.808557237032801,"Marburg",20
"395",2.24950797809288,0.810621632961556,"Marburg",20
"396",0.0303814150393009,0.608073828741908,"Marburg",20
"397",0.274977424414828,0.792720252182335,"Marburg",20
"398",0.781235098605976,0.606827199924737,"Marburg",20
"399",0.217505771666765,0.839888413902372,"Marburg",20
"400",0.413427430903539,0.205398618010804,"Marburg",20
"401",0.268543148646131,0.258781924610958,"Marburg",20
"402",1.59139762655832,0.997175472788513,"Marburg",20
"403",0.0875750260893255,0.826878153253347,"Marburg",20
"404",1.1842352966778,0.69153219810687,"Marburg",20
"405",1.06340330117382,0.934433213202283,"Marburg",20
"406",0.234729687916115,0.654505734564736,"Marburg",20
"407",1.38637872249819,0.534887197660282,"Marburg",20
"408",1.79119187104516,0.880047911778092,"Marburg",20
"409",0.471828385256231,0.865131000522524,"Marburg",20
"410",0.239630870288238,0.268858783179894,"Marburg",20
"411",0.0641178900841624,0.890931553440168,"Marburg",20
"412",0.825736918486655,0.0173286960925907,"Marburg",20
"413",0.345674589509144,0.505251080496237,"Marburg",20
"414",0.842234103474766,0.750126723898575,"Marburg",20
"415",0.554242740618065,0.865213776938617,"Marburg",20
"416",0.325511344475672,0.580322535708547,"Marburg",20
"417",0.326483020093292,0.468239714158699,"Marburg",20
"418",0.514829392544925,0.491795649053529,"Marburg",20
"419",0.371941419085488,0.269049743190408,"Marburg",20
"420",0.050483759958297,0.222615983569995,"Marburg",20
"421",0.595172360306606,0.512076938757673,"Marburg",20
"422",0.606764441588894,0.776207862887532,"Marburg",20
"423",0.439843114698306,0.111724049318582,"Marburg",20
"424",0.690074811223894,0.185461723944172,"Marburg",20
"425",0.53577588731423,0.586308827623725,"Marburg",20
"426",0.841704582329839,0.164717466337606,"Marburg",20
"427",0.283869233680889,0.245983720058575,"Marburg",20
"428",0.144328453112394,0.03091248171404,"Marburg",20
"429",1.38077680743299,0.540046597132459,"Marburg",20
"430",0.622841482283548,0.643395173130557,"Marburg",20
"431",0.429187292000279,0.698937801644206,"Marburg",20
"432",0.0541200432926416,0.162104996386915,"Marburg",20
"433",0.848175806226209,0.444264450808987,"Marburg",20
"434",0.700461556669325,0.505241556558758,"Marburg",20
"435",1.12316211126745,0.927073452621698,"Marburg",20
"436",0.546864129602909,0.971937086433172,"Marburg",20
"437",0.326342140557244,0.0210083157289773,"Marburg",20
"438",0.151572151808068,0.0996799557469785,"Marburg",20
"439",0.598360102856532,0.661736840382218,"Marburg",20
"440",0.561219218652695,0.677839076146483,"Marburg",20
"441",1.35071396338753,0.960314016323537,"Marburg",20
"442",0.422863183077425,0.318602564511821,"Marburg",20
"443",0.388641953933984,0.750405116239563,"Marburg",20
"444",0.840363268274814,0.498922062804922,"Marburg",20
"445",0.934918825747445,0.927567121107131,"Marburg",20
"446",0.0668601079378277,0.0728613229002804,"Marburg",20
"447",0.528069379040971,0.824167177081108,"Marburg",20
"448",1.1219984551426,0.779620395973325,"Marburg",20
"449",0.426621668972075,0.384201476117596,"Marburg",20
"450",0.404619968030602,0.732065120246261,"Marburg",20
"451",0.735602233093232,0.345507627585903,"Marburg",20
