mu,shape
12.340694,5.1666117
11.313749,4.8866467
9.414889,4.339298
11.4291,6.7753196
11.7502365,7.036088
11.20601,3.4079785
10.749017,7.8584003
10.636875,4.834857
10.966093,6.0543423
10.057567,6.4746666
11.77997,5.0035496
11.553064,2.715139
10.770139,9.63243
10.819848,6.859968
10.631657,6.297661
11.5337715,5.7944603
12.278671,6.8058662
11.550717,5.988537
11.677977,5.1480026
12.483593,9.102994
11.0431795,6.4590073
11.68589,5.0067477
11.6694355,7.0869718
10.952377,8.046418
10.822859,10.892611
11.998344,5.5271897
11.223649,8.973269
11.523447,7.3506484
10.988564,5.4690065
11.35235,5.695327
12.946863,11.485891
10.915369,4.45397
10.65279,5.948228
10.601809,5.762535
11.722632,3.6872
11.6129,5.330499
12.617569,8.065608
10.532327,5.427614
12.168459,7.7489777
11.425713,7.2947154
10.958448,5.4266186
10.983088,6.344263
9.954512,7.0981293
11.8238735,7.0982237
10.314958,6.562686
12.057061,4.877822
11.5443,4.570146
10.722491,8.14212
11.166746,6.974992
9.986817,6.499525
9.814154,5.269433
11.306072,6.0157
10.66148,5.827471
12.642472,4.9363623
11.624138,6.1493845
10.484501,6.6363153
12.481031,3.946985
12.5851755,9.225545
13.275438,3.825934
12.166538,6.8809295
12.601536,7.693189
11.29868,6.3650446
12.269904,5.3677135
11.34528,7.4861856
12.822046,4.2763543
10.783754,5.27212
11.641632,7.802698
11.154779,5.954529
12.013326,5.430706
11.148789,5.8795958
11.225636,7.072318
9.617312,4.3186707
10.463562,3.8451793
9.10233,5.746647
11.599473,3.3652008
11.421696,10.055256
10.675184,7.184796
10.196526,4.418191
11.599016,4.935417
12.457607,7.059633
13.292607,5.170917
10.65389,5.7656536
11.585411,8.868872
11.788879,7.820324
10.615204,8.857393
10.266483,4.0857515
10.553793,6.7767415
10.451931,5.304691
11.299653,7.4749207
11.283312,5.4924884
11.449167,4.257383
13.102552,8.664482
11.764656,5.0968094
11.358054,4.231154
11.757217,3.6867769
10.865174,4.500608
10.460534,7.07314
10.606147,5.442822
10.496329,8.870416
10.488774,7.428218
12.690922,8.344196
9.352232,7.6197066
10.163429,5.5098834
12.307432,7.477762
9.812549,5.294388
11.157671,5.070096
11.213932,6.577935
11.78154,8.526451
10.6345415,8.402989
10.834288,5.343373
10.673973,8.642364
12.29124,6.750037
11.271175,5.9104786
11.1075325,7.504751
10.074321,2.8662355
11.70908,4.6271996
11.16877,7.4718866
13.253911,5.0031023
11.321394,4.0066457
11.28248,7.0234456
10.765423,6.6530385
10.772892,8.568118
10.111694,8.08198
10.940302,4.364749
11.565628,4.03854
12.060014,6.289622
11.280491,5.178556
10.616188,5.313553
12.341221,7.4420605
11.675251,5.1944003
12.684472,4.728994
10.255888,7.566171
12.692129,6.292317
12.005065,6.20231
11.074223,5.304696
11.406805,6.2367716
11.660077,8.549398
11.093659,3.94073
10.389795,5.741242
11.376877,6.6213346
11.19539,4.700768
9.641825,4.5984764
12.190832,4.642357
11.203902,6.226537
12.481367,4.777286
11.677259,6.4599686
11.108333,4.364337
10.75901,3.3519487
10.033815,4.4577146
10.2360115,4.217425
11.722842,6.6519375
11.497782,7.031592
9.618619,5.1246104
12.154735,6.7719927
11.228668,9.698544
13.008603,6.3764734
11.754633,8.639811
11.931232,5.1305776
11.916325,6.4496126
10.87264,5.655087
10.140989,4.9132805
11.271328,6.8707952
12.367117,5.7025337
11.737587,5.8726406
10.435527,5.293009
10.419613,4.614282
9.877056,7.7999024
12.708616,5.5815797
11.796794,3.5710573
9.6104355,5.4747863
11.3945675,4.2375045
12.478418,3.8817332
11.9681225,5.541733
11.452468,2.3581061
11.182081,8.59909
11.550519,7.0980215
12.490405,4.758045
11.450701,8.398673
11.196231,9.445088
11.265158,5.8384957
11.217512,5.742192
12.858501,6.9461794
10.498371,8.873754
11.468493,8.803816
10.585035,5.230522
11.034599,5.385429
11.607031,4.3340516
10.544895,5.5981503
11.51747,12.356336
12.985143,7.2373204
12.117611,3.6110427
12.50038,5.706084
10.906912,3.8478777
12.574034,7.977719
11.914553,6.2230606
11.748718,9.590954
11.989016,3.8225377
12.801956,6.617068
13.240876,5.5157065
9.925857,8.7783165
11.242313,4.958885
12.586712,8.161033
12.078814,5.268054
11.943881,6.6796694
12.495767,4.749217
10.003241,4.4240985
10.638254,7.5125546
12.515833,4.9185486
10.718721,7.404503
11.625368,5.7151003
11.438658,3.1979864
12.500367,4.098496
11.018689,3.9622204
11.516128,7.8799872
10.696118,5.5066767
11.55796,7.789119
